Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,mae,mape,r2,rmse,split,model,size,drifts,drift,data,lags
2022-09-16 20:31:16,0.5s,c6e72471a5594878a71cb095e43b8a06,Spain.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,6671.331761600372,0.19782716341823764,0.7921952304723914,17680.17289894201,test,AAO,7,8,adwin,Spain,14
2022-09-16 20:31:07,0.5s,a089d7a0a85145fab739f7d72d578369,Qatar.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,11.060668804091799,0.04316257450208359,0.9247436534884944,28.492227506064562,test,AAO,7,12,adwin,Qatar,14
2022-09-16 20:30:56,0.5s,b0624af74ab04349932f73c795b76b41,Portugal.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,766.2885294474778,0.1375585408242743,0.9000403492484351,1943.5160352805092,test,AAO,7,13,adwin,Portugal,14
2022-09-16 20:30:47,0.5s,5deae04d981c446c994b6784ca0e5d92,Japan.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,17.796786911020774,0.14127694340428554,0.8751781845303461,29.152675687563807,test,AAO,7,12,adwin,Japan,14
2022-09-16 20:30:31,0.7s,e2616ab4243f43309e7442eff162cf91,Israel.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,193.83477836810675,0.12810786140162883,0.750944763617909,511.3378121148253,test,AAO,7,12,adwin,Israel,14
2022-09-16 20:30:19,0.5s,bc1b85ef18a54527a33a39be73c26115,Iran.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,255.728727719667,0.07780991259021788,0.9658028271753577,468.6980032226422,test,AAO,7,14,adwin,Iran,14
2022-09-16 20:30:08,0.5s,12b3e0850d9140bca77874069962be69,Germany.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,2072.7558842579087,0.056045162554302204,0.9704983364944356,3156.1555455379043,test,AAO,7,13,adwin,Germany,14
2022-09-16 20:29:50,0.5s,63335e795f8e41439dfff7440c3db03c,China.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,14.818214208521312,0.13218533426596446,0.6986715113797453,34.07680200682178,test,AAO,7,5,adwin,China,14
2022-09-16 20:29:43,0.5s,c0f681f9274045e58b349b22936dcc43,Canada.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,1167.3886984752132,0.11254239817388811,0.8824537066759152,3753.950512605938,test,AAO,7,14,adwin,Canada,14
2022-09-16 20:29:34,0.5s,91b1391c14164aacbb675858f3408ce0,Australia.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,542.8180982360274,0.08680965695239838,0.918747799555372,1823.3040994448897,test,AAO,7,9,adwin,Australia,14
2022-09-16 20:29:22,0.5s,8b6af88bd00846d999231b7b603c064d,Argentina.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,910.4120819368454,0.1041313210742593,0.9457971245949339,2469.12899026916,test,AAO,7,12,adwin,Argentina,14
2022-09-07 21:53:00,0.5s,ba5376a7014343b693c2725283277b64,Russia.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,366.36890203087086,0.011396979917062221,0.9899726510148558,552.3954662435266,test,AAO,7,14,adwin,Russia,14
2022-09-07 21:52:56,0.6s,23e288cb1e4e4eebba2f112883735cf2,India.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,1092.1743188429127,0.07412837489900767,0.584401347206661,2209.888004961194,test,AAO,7,16,adwin,India,14
2022-09-07 21:52:52,0.5s,10d9e0cec5564933ab76e317113a0c18,South Africa.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,1453.9683840910382,0.1617645932437995,0.8297051857558748,3726.510273274768,test,AAO,7,13,adwin,South Africa,14
2022-09-07 21:52:47,0.5s,1ac8e52f5b1e4afdb466021d80fbc028,France.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,3726.3560018110998,0.11477376190119251,0.9837872971444886,6228.801393963997,test,AAO,7,8,adwin,France,14
2022-09-07 21:52:43,0.5s,5a3000e887f54cd0b63f8ee0d3016cfc,Italy.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,3862.1934537610755,0.16126212896422776,0.9074822643668894,8102.674084035754,test,AAO,7,13,adwin,Italy,14
2022-09-07 21:52:39,0.5s,d76eaeef4ef84b62b1f5792679754acc,United Kingdom.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,3533.188908602867,0.04971907395077078,0.9646275675280515,7293.838151183251,test,AAO,7,15,adwin,United Kingdom,14
2022-09-07 21:52:34,0.5s,4d8ec67dac144155a909170c4bd4b2f8,US.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,28516.197567087387,0.2491915598905527,0.8392946534219761,48251.193389260334,test,AAO,7,13,adwin,US,14
2022-09-07 21:52:30,0.5s,711e365238914b63af124db80b27c45d,Mexico.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,1136.233142003577,0.23773727607833084,0.46159833656195015,2155.5523438963614,test,AAO,7,13,adwin,Mexico,14
2022-09-07 21:52:26,0.5s,cdf73f7e0017442db2cf92a451da96af,Brazil.AAO.test,LOCAL,codrift5.py,marabots,FINISHED,644.797820801157,0.12335348877435388,0.9299957001492688,1057.9997110440574,test,AAO,7,12,adwin,Brazil,14
