Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,concentrate_scale,enforce_invertibility,enforce_stationarity,hamilton_representation,k_ar,k_ar_params,k_diff,k_exog,k_ma,k_ma_params,k_seasonal_ar,k_seasonal_diff,k_seasonal_ma,k_trend,measurement_error,mle_regression,order,seasonal_order,seasonal_periods,simple_differencing,state_regression,time_varying_regression,trend,trend_offset,mae,mape,r2,rmse,split,submodel,model,drift,data
2022-09-22 10:45:41,77ms,d1996812ec1e482fa754e343afec68a7,Spain.AS.test.8,LOCAL,codrift5.py,marabots,FINISHED,False,True,True,False,3,3,1,0,2,2,8,0,0,0,False,False,"(3, 1, 2)","(2, 0, 0, 4)",4,False,False,False,n,1,13168.25970185115,0.40033831644996276,0.4310171754616653,29075.514974537444,test,8,AS,adwin,Spain
2022-09-22 10:45:41,77ms,5e0e63db79bb4f8b8bf1c223dcd0d7c1,Spain.AS.test.7,LOCAL,codrift5.py,marabots,FINISHED,False,True,True,False,0,0,1,0,1,1,0,0,4,0,False,False,"(0, 1, 1)","(0, 0, 1, 4)",4,False,False,False,n,1,19096.344766674898,0.6862662857820376,-0.036411509765376326,39241.35099364805,test,7,AS,adwin,Spain
2022-09-22 10:45:41,77ms,8fd83a8b7b5943cab042c6688a74d62f,Spain.AS.test.6,LOCAL,codrift5.py,marabots,FINISHED,False,True,True,False,3,3,1,0,2,2,8,0,0,0,False,False,"(3, 1, 2)","(2, 0, 0, 4)",4,False,False,False,n,1,13230.98304080499,0.3657030275989528,0.41890741814708854,29383.29550220712,test,6,AS,adwin,Spain
2022-09-22 10:45:41,77ms,61f550a01a884e6ba42ddd2105a5ac0c,Spain.AS.test.5,LOCAL,codrift5.py,marabots,FINISHED,False,True,True,False,0,0,1,0,1,1,0,0,4,0,False,False,"(0, 1, 1)","(0, 0, 1, 4)",4,False,False,False,n,1,18975.99139414267,0.5381404334767994,0.11774506874117818,36205.527914616294,test,5,AS,adwin,Spain
2022-09-22 10:45:41,77ms,2a8f31e553c04d83877d588b449d0991,Spain.AS.test.4,LOCAL,codrift5.py,marabots,FINISHED,False,True,True,False,3,3,1,0,0,0,0,0,4,0,False,False,"(3, 1, 0)","(0, 0, 1, 4)",4,False,False,False,n,1,18100.160867943396,0.6684760544334111,0.10835333915099421,36397.724283743984,test,4,AS,adwin,Spain
2022-09-22 10:45:41,76ms,8f8f744b627e4e4697dad5df5590574b,Spain.AS.test.3,LOCAL,codrift5.py,marabots,FINISHED,False,True,True,False,2,2,1,0,2,2,4,1,4,0,False,False,"(2, 1, 2)","(1, 1, 1, 4)",4,False,False,False,n,1,24287.77031890638,0.766752071779582,-0.6718727190919209,49840.161703303755,test,3,AS,adwin,Spain
2022-09-22 10:45:41,78ms,2cde01de74484b8b86d3fa7621a9ce5b,Spain.AS.test.2,LOCAL,codrift5.py,marabots,FINISHED,False,True,True,False,0,0,1,0,1,1,0,0,4,0,False,False,"(0, 1, 1)","(0, 0, 1, 4)",4,False,False,False,n,1,19871.41260531545,0.5189756716891305,0.03256718265346681,37913.00820285666,test,2,AS,adwin,Spain
2022-09-22 10:45:41,76ms,f5ce873e598945e791149936a6ca2857,Spain.AS.test.1,LOCAL,codrift5.py,marabots,FINISHED,False,True,True,False,3,3,1,0,0,0,0,0,4,0,False,False,"(3, 1, 0)","(0, 0, 1, 4)",4,False,False,False,n,1,18003.271749091386,0.4857895350861364,0.17604275303509642,34988.89088873273,test,1,AS,adwin,Spain
2022-09-22 10:45:41,97ms,681ec469715a44d0a54517b594d724f9,Spain.AS.test.0,LOCAL,codrift5.py,marabots,FINISHED,False,True,True,False,2,2,1,0,3,3,0,0,0,0,False,False,"(2, 1, 3)","(0, 0, 0, 4)",4,False,False,False,n,1,17819.229822461835,0.3842835634717005,0.061320932696506625,37345.338792626775,test,0,AS,adwin,Spain
2022-09-22 10:44:29,1.2min,2a21ae04426e463e9d28b24682c06311,Spain.AS.test,LOCAL,codrift5.py,marabots,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-22 10:44:25,80ms,bd281daa329f462d9e12e837a4b1e775,Qatar.AS.test.12,LOCAL,codrift5.py,marabots,FINISHED,False,True,True,False,3,3,1,0,2,2,4,0,0,0,False,False,"(3, 1, 2)","(1, 0, 0, 4)",4,False,False,False,n,1,27.019022769236265,0.10555594733520299,0.6578821527969414,60.55997858573244,test,12,AS,adwin,Qatar
2022-09-22 10:44:25,79ms,d166c495d42d4cf29b8b79e73e0049d7,Qatar.AS.test.11,LOCAL,codrift5.py,marabots,FINISHED,False,True,True,False,2,2,1,0,0,0,0,0,0,0,False,False,"(2, 1, 0)","(0, 0, 0, 4)",4,False,False,False,n,1,21.813845583284458,0.08931111336861292,0.7763445777588016,48.965203460581144,test,11,AS,adwin,Qatar
2022-09-22 10:44:25,78ms,6ddc0f065186446b84b202e6de418761,Qatar.AS.test.10,LOCAL,codrift5.py,marabots,FINISHED,False,True,True,False,2,2,1,0,0,0,0,0,0,0,False,False,"(2, 1, 0)","(0, 0, 0, 4)",4,False,False,False,n,1,20.32179371043797,0.08813889109044046,0.8305237885260774,42.623805479978486,test,10,AS,adwin,Qatar
2022-09-22 10:44:25,81ms,c1873df6662e4159b2acf4b212af9053,Qatar.AS.test.9,LOCAL,codrift5.py,marabots,FINISHED,False,True,True,False,0,0,1,0,0,0,0,0,0,0,False,False,"(0, 1, 0)","(0, 0, 0, 4)",4,False,False,False,n,1,17.28125,0.08219759817319543,0.8927794923762239,33.902894419208515,test,9,AS,adwin,Qatar
2022-09-22 10:44:24,79ms,ee899f6d094a4c3baae718a23f3f60f1,Qatar.AS.test.8,LOCAL,codrift5.py,marabots,FINISHED,False,True,True,False,2,2,1,0,1,1,4,0,0,0,False,False,"(2, 1, 1)","(1, 0, 0, 4)",4,False,False,False,n,1,27.75104160906171,0.11973659445571436,0.6848316635204097,58.12582598155071,test,8,AS,adwin,Qatar
2022-09-22 10:44:24,79ms,1830a0760c13402184548a2b990f51ac,Qatar.AS.test.7,LOCAL,codrift5.py,marabots,FINISHED,False,True,True,False,2,2,1,0,0,0,4,0,0,0,False,False,"(2, 1, 0)","(1, 0, 0, 4)",4,False,False,False,n,1,17.163351432636432,0.09005984192435212,0.9181720878792746,29.617512654944466,test,7,AS,adwin,Qatar
2022-09-22 10:44:24,79ms,1471f360de0148fb8be0e3cb063ad661,Qatar.AS.test.6,LOCAL,codrift5.py,marabots,FINISHED,False,True,True,False,0,0,1,0,2,2,0,0,0,0,False,False,"(0, 1, 2)","(0, 0, 0, 4)",4,False,False,False,n,1,21.69177158775304,0.09505947079669513,0.7985013217079674,46.47655707063303,test,6,AS,adwin,Qatar
2022-09-22 10:44:24,81ms,a273e9287cd445ac874e9adcbb0ac380,Qatar.AS.test.5,LOCAL,codrift5.py,marabots,FINISHED,False,True,True,False,1,1,1,0,1,1,8,0,0,0,False,False,"(1, 1, 1)","(2, 0, 0, 4)",4,False,False,False,n,1,24.095247786363807,0.09422001431573081,0.713695433753052,55.40028321981983,test,5,AS,adwin,Qatar
2022-09-22 10:44:24,80ms,a63365e80d734d2c8fd3d6a74385aa99,Qatar.AS.test.4,LOCAL,codrift5.py,marabots,FINISHED,False,True,True,False,0,0,1,0,0,0,0,0,0,0,False,False,"(0, 1, 0)","(0, 0, 0, 4)",4,False,False,False,n,1,17.28125,0.08219759817319541,0.8927794923762239,33.902894419208515,test,4,AS,adwin,Qatar
