Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,K,distance,metric,pool,window_size,mae,mape,r2,rmse,split,model,size,k,drift,data,lags
2022-10-07 13:23:14,2.0s,a068d0cd2f7846c0b3413bd00970ed15,United Arab Emirates.ASDS3.test,LOCAL,codrift5.py,marabots,FINISHED,1,None,mse,sarimas,7,53.800104605374834,0.12397727119652441,0.9645637725132788,118.22143103111735,test,ASDS3,7,15,adwin,United Arab Emirates,14
2022-10-07 13:23:08,1.4s,e87da487983c40a4ad06d1bc154f67a6,Spain.ASDS3.test,LOCAL,codrift5.py,marabots,FINISHED,1,None,mse,sarimas,7,12671.17398391193,0.39397729772765355,0.4595275702681182,28337.700734093538,test,ASDS3,7,8,adwin,Spain,14
2022-10-07 13:23:03,1.8s,de8207d11b7f4929bc68a393cab30303,Qatar.ASDS3.test,LOCAL,codrift5.py,marabots,FINISHED,1,None,mse,sarimas,7,13.319133891724164,0.0634593604965778,0.9242800667138943,28.490689454061002,test,ASDS3,7,12,adwin,Qatar,14
2022-10-07 13:22:57,1.9s,579d81578c8f417eb968dc5911f4590a,Portugal.ASDS3.test,LOCAL,codrift5.py,marabots,FINISHED,1,None,mse,sarimas,7,930.9794673770989,0.22346996367707253,0.9205515119193487,1724.5675339201277,test,ASDS3,7,13,adwin,Portugal,14
2022-10-07 13:22:52,1.8s,bc9a3a8536484a19a842a4195a1bd386,Japan.ASDS3.test,LOCAL,codrift5.py,marabots,FINISHED,1,None,mse,sarimas,7,28.511040407023895,0.19757440243541563,0.7967300784071699,37.575708474629316,test,ASDS3,7,12,adwin,Japan,14
2022-10-07 13:22:46,1.8s,a1c8d3fb6ad849b3a1bae5f9f4334687,Italy.ASDS3.test,LOCAL,codrift5.py,marabots,FINISHED,1,None,mse,sarimas,7,3822.8942550607767,0.1706706197415158,0.9235753135713788,7327.91416663244,test,ASDS3,7,13,adwin,Italy,14
2022-10-07 13:22:40,1.7s,bdb7b68c195b4c84b8c904110f7dbc3e,Israel.ASDS3.test,LOCAL,codrift5.py,marabots,FINISHED,1,None,mse,sarimas,7,301.22599564097226,0.34472715905359747,0.7082407715920108,549.5647979488376,test,ASDS3,7,12,adwin,Israel,14
2022-10-07 13:22:35,1.9s,9b857fbc2ae643ed9109a73d95881309,Iran.ASDS3.test,LOCAL,codrift5.py,marabots,FINISHED,1,None,mse,sarimas,7,592.3653429094109,0.1693123642834204,0.8973878510827527,833.2858301311721,test,ASDS3,7,14,adwin,Iran,14
2022-10-07 13:22:29,1.9s,0bb0b5fd2873458db2df01623f5a433e,Germany.ASDS3.test,LOCAL,codrift5.py,marabots,FINISHED,1,None,mse,sarimas,7,5133.520337783131,0.15584780031951928,0.8663907331277707,6705.644216158692,test,ASDS3,7,13,adwin,Germany,14
2022-10-07 13:22:24,1.4s,a9cecf5161254f6d9aad9fa28f2bc849,France.ASDS3.test,LOCAL,codrift5.py,marabots,FINISHED,1,None,mse,sarimas,7,11865.288231273382,0.563425600983491,0.8395807253052843,19531.595068680224,test,ASDS3,7,8,adwin,France,14
