Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,mae,mape,r2,rmse,split,model,size,drifts,drift,data,lags
2022-10-07 14:33:35,0.6s,63c382bf807a46369df1735c3911e007,United Arab Emirates.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,41.92410537516154,0.08469393157612713,0.9743646413931047,101.20264234654846,test,ASO2,7,15,adwin,United Arab Emirates,14
2022-10-07 14:33:30,0.6s,7b46592bf63e4cb38e2987239c8f7922,Spain.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,5869.3323458378545,0.1493270266770547,0.7980505144844332,17429.307323721376,test,ASO2,7,8,adwin,Spain,14
2022-10-07 14:33:26,0.6s,410bee2f60e84b9f86a5e0697d6290c3,Qatar.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,8.321812811011306,0.02732847720620889,0.9337951892100828,26.72388612409121,test,ASO2,7,12,adwin,Qatar,14
2022-10-07 14:33:21,0.6s,a005247782504ecd8ed08890a0681a7d,Portugal.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,458.1169652492809,0.07847146068943112,0.9529641469014557,1333.1845615017753,test,ASO2,7,13,adwin,Portugal,14
2022-10-07 14:33:17,0.6s,5876ede4b8c84988b01ae9d6a90214ed,Japan.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,12.472455410384576,0.0987460375676775,0.9480410938212442,18.80889031257534,test,ASO2,7,12,adwin,Japan,14
2022-10-07 14:33:12,0.6s,42c1c0850e3f43efba1e68bca15d2bc9,Italy.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,2346.0399649525625,0.07482750012367698,0.9433396580242175,6340.96664600704,test,ASO2,7,13,adwin,Italy,14
2022-10-07 14:33:08,0.6s,7cd813cea3f84798a1b49b53c4572a6d,Israel.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,138.73424113279557,0.12617228722180096,0.8738121948089692,363.9726608260428,test,ASO2,7,12,adwin,Israel,14
2022-10-07 14:33:04,0.6s,e42cb1739897457289ae797ff405181d,Iran.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,185.87801346728935,0.04670607585818692,0.9809178703850102,350.11556816463815,test,ASO2,7,14,adwin,Iran,14
2022-10-07 14:32:59,0.6s,680f0f3c9b974da4a4c64ffe0846aab8,Germany.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,1195.243933983232,0.03357536634550847,0.9913013188901317,1713.8067576775356,test,ASO2,7,13,adwin,Germany,14
2022-10-07 14:32:55,0.6s,cdea62a9c5404201aa2fbfceda9754e2,France.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,4398.9945248599415,0.20393037279669268,0.9755075429575528,7655.841780852746,test,ASO2,7,8,adwin,France,14
2022-10-07 14:32:50,0.6s,339ac0c260724dbda68f2b26d236d2cf,China.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,15.055500081320906,0.13794818170608755,0.7024414508694785,33.862962565806235,test,ASO2,7,5,adwin,China,14
2022-10-07 14:32:46,0.6s,3669f53ae9874efb94dd216aee06bea1,Canada.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,1025.2251560665866,0.09527405341118292,0.8958261406527207,3533.9748191649032,test,ASO2,7,14,adwin,Canada,14
2022-10-07 14:32:42,0.5s,c68aef494ba8442599e3d1ab251cb4c0,Australia.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,500.84334613109843,0.06970279895342828,0.9265912724096913,1733.0671526236076,test,ASO2,7,9,adwin,Australia,14
2022-10-07 14:32:37,0.6s,cc6e2cb828464ebca25116ad082ecab4,Argentina.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,351.56363156333833,0.07747460827606012,0.9926483951132034,909.3345544676785,test,ASO2,7,12,adwin,Argentina,14
2022-10-07 14:32:33,0.6s,5f05f6b901054b68a9f2564b8bd01638,Russia.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,244.22168558029136,0.007678324350106897,0.9943519422995094,414.5783348125198,test,ASO2,7,14,adwin,Russia,14
2022-10-07 14:32:28,0.6s,62c23942afb34afbb25157abec44f1f3,India.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,683.9756205773923,0.05155845108213752,0.7976622581326831,1541.9548186990487,test,ASO2,7,16,adwin,India,14
2022-10-07 14:32:24,0.6s,ef5b283039d64817b822ff608cec972f,South Africa.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,992.7902297205436,0.14901549017033533,0.9103836612113962,2703.3060092567143,test,ASO2,7,13,adwin,South Africa,14
2022-10-07 14:32:20,0.5s,7467c491599442efbc3e8b5df394f8a0,France.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,4398.9945248599415,0.20393037279669268,0.9755075429575528,7655.841780852746,test,ASO2,7,8,adwin,France,14
2022-10-07 14:32:15,0.6s,66f313fb01714929af07ba563b653eda,Italy.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,2346.0399649525625,0.07482750012367698,0.9433396580242175,6340.96664600704,test,ASO2,7,13,adwin,Italy,14
2022-10-07 14:32:11,0.6s,a912fe4c5329446aa7b66f1acd2a018d,United Kingdom.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,2353.301800158807,0.029983314270487105,0.9759516127898199,6014.044497555511,test,ASO2,7,15,adwin,United Kingdom,14
2022-10-07 14:32:06,0.6s,cc79f3e650894522aa6f2172ce1b7dfc,US.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,16351.69534312204,0.12311655757774884,0.8960576703742605,38805.127921314495,test,ASO2,7,13,adwin,US,14
2022-10-07 14:32:02,0.6s,030096033c6b4c3384d456aec5d48461,Mexico.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,457.44001530860226,0.1569594139440526,0.9119157178693524,871.8757259274948,test,ASO2,7,13,adwin,Mexico,14
2022-10-07 14:31:57,0.6s,8a161f4cc37e4cc1a641d08a72276fa3,Brazil.ASO2.test,LOCAL,codrift5.py,marabots,FINISHED,526.0983820899106,0.09370084186703224,0.9670722206532659,725.6119264036329,test,ASO2,7,12,adwin,Brazil,14
