,Brazil,France,Germany,India,Italy,Japan,Russia,South Africa,US,United Kingdom
rw,35.797,64.911,31.373,19.977,22.404,32.229,2.123,60.702,55.484,9.32
arima,30.051,64.838,15.512,21.158,16.736,46.075,2.1,51.557,38.242,9.131
sarima,46.159,64.838,23.39,26.726,18.336,35.191,2.122,51.992,43.18,9.579
svm,46.482,51.553,54.143,15.639,21.682,27.399,2.025,52.282,46.826,9.503
elm,37.117,57.244,26.343,20.366,21.164,40.608,3.53,66.838,46.568,13.212
mlp,91.717,59.854,33.627,193.837,27.933,302.354,16.336,182.385,43.588,21.224
lstm,53.95,64.245,35.308,160.968,28.311,252.166,19.327,80.649,43.048,24.265
xgb,55.122,58.315,35.492,20.146,22.913,36.781,15.253,68.357,43.911,24.147
ensemble_mean,46.129,52.944,25.117,55.124,19.042,96.122,7.528,63.34,40.086,13.166
ensemble_median,46.775,51.169,25.117,15.042,20.307,96.122,1.726,51.458,42.816,13.45
ASDS,24.241,58.69,15.863,13.927,20.745,28.752,1.571,41.505,48.667,7.671
ASDS3,22.239,55.79,18.03,13.048,20.913,28.993,1.602,38.51,48.558,7.479
Oracle,9.243,19.974,4.784,5.727,10.152,14.771,0.748,17.864,24.432,3.955
